hostname,planet_letter,semi_major_axis,distance,apparent_magnitude,st_sp,spectral_type
11 Com,b,1.290000,93.37,4.740,5.00,K0 III
11 UMi,b,1.530000,125.72,5.016,5.40,K4 III
14 And,b,0.830000,75.59,5.227,4.80,G8 III
14 Her,b,2.930000,17.94,6.610,5.00,K0 V
16 Cyg B,b,1.660000,21.15,6.250,4.25,G2.5 V
18 Del,b,2.600000,76.38,5.506,4.60,G6 III
24 Boo,b,0.190000,96.25,5.580,4.30,G3 IV
24 Sex,b,1.333000,72.21,6.441,5.00,K0 IV
24 Sex,c,2.080000,72.21,6.441,5.00,K0 IV
2MASS J01225093-2439505,b,52.000000,36.00,14.240,6.35,M3.5 V
2MASS J12073346-3932539,b,46.000000,64.42,20.150,6.80,M8
2MASS J22362452+4751425,b,230.000000,74.00,12.510,5.70,K7 V
30 Ari B,b,0.990000,44.71,6.962,3.60,F6 V
4 UMa,b,0.870000,73.58,4.610,5.10,K1 III
42 Dra,b,1.190000,90.86,4.820,5.15,K1.5 III
47 UMa,b,2.100000,13.80,5.050,4.00,G0 V
47 UMa,c,3.600000,13.80,5.050,4.00,G0 V
47 UMa,d,11.600000,13.80,5.050,4.00,G0 V
51 Eri,b,12.000000,29.40,5.230,3.00,F0 IV
51 Peg,b,0.052700,15.47,5.500,4.25,G2.5 IV
55 Cnc,b,0.115227,12.59,5.960,4.80,G8 V
55 Cnc,c,0.241376,12.59,5.960,4.80,G8 V
55 Cnc,d,5.503000,12.59,5.960,4.80,G8 V
55 Cnc,e,0.015440,12.59,5.960,4.80,G8 V
55 Cnc,f,0.788000,12.59,5.960,4.80,G8 V
6 Lyn,b,2.110000,54.74,5.860,5.00,K0 III-IV
61 Vir,b,0.050201,8.51,4.740,4.50,G5 V
61 Vir,c,0.217500,8.51,4.740,4.50,G5 V
61 Vir,d,0.476000,8.51,4.740,4.50,G5 V
7 CMa,b,1.758000,19.82,3.920,5.10,K1 III
7 CMa,c,2.153000,19.82,3.920,5.10,K1 III
70 Vir,b,0.481000,17.91,4.970,4.40,G4 V
75 Cet,b,2.100000,83.15,5.350,4.30,G3 III
8 UMi,b,0.490000,163.32,6.830,5.00,K0
81 Cet,b,2.500000,101.53,5.650,4.50,G5 III
91 Aqr,b,0.700000,44.08,4.250,5.00,K0 III
AB Pic,b,260.000000,50.12,9.128,5.20,K2 V
AU Mic,b,0.066000,9.79,8.810,6.10,M1 VE
BD+14 4559,b,0.780000,49.42,9.630,5.20,K2 V
BD+15 2375,b,0.576000,774.00,10.310,4.50,G5
BD+15 2940,b,0.539000,431.61,9.046,5.00,K0
BD+20 2457,b,1.050000,1670.85,9.750,5.20,K2 II
BD+20 2457,c,2.010000,1670.85,9.750,5.20,K2 II
BD+20 274,b,1.300000,1383.85,9.360,5.50,K5 III
BD+48 738,b,1.000000,892.17,9.140,5.00,K0 III
BD+48 740,b,1.700000,678.94,8.699,5.30,K3 III
BD+49 828,b,4.200000,447.59,9.380,5.00,K0
BD-06 1339,b,0.042800,20.28,9.700,5.85,K7/M0 V
BD-06 1339,c,0.435000,20.28,9.700,5.85,K7/M0 V
BD-08 2823,b,0.060000,41.38,9.880,5.30,K3 V
BD-08 2823,c,0.680000,41.38,9.880,5.30,K3 V
BD-10 3166,b,0.040000,84.61,10.080,5.00,K0 V
BD-11 4672,b,2.360000,27.30,9.990,5.70,K7 V
BD-11 4672,c,0.300000,27.30,9.990,5.70,K7 V
BD-13 2130,b,1.660000,948.75,9.450,4.50,G5 IV/V
BD-17 63,b,1.340000,34.49,9.566,5.50,K5 V
CoRoT-10,b,0.105500,345.00,15.220,5.10,K1 V
CoRoT-11,b,0.043600,560.00,12.939,3.60,F6 V
CoRoT-13,b,0.051000,1060.00,15.039,4.00,G0 V
CoRoT-14,b,0.027000,1340.00,16.033,3.90,F9 V
CoRoT-16,b,0.061800,840.00,15.630,4.50,G5 V
CoRoT-17,b,0.046100,920.00,15.460,4.20,G2 V
CoRoT-18,b,0.029500,870.00,15.000,4.90,G9 V
CoRoT-19,b,0.051800,770.00,14.007,3.90,F9 V
CoRoT-20,b,0.090000,864.31,14.660,4.20,G2 V
CoRoT-20,c,2.900000,864.31,14.660,4.20,G2 V
CoRoT-21,b,0.041700,1398.83,16.000,3.80,F8 IV
CoRoT-22,b,0.092000,592.00,13.944,4.30,G3 V
CoRoT-23,b,0.048000,600.00,15.630,4.00,G0 V
CoRoT-27,b,0.047600,1035.15,15.540,4.20,G2
CoRoT-30,b,0.084400,960.00,15.650,4.30,G3 V
CoRoT-6,b,0.085500,657.24,13.912,3.90,F9 V
CoRoT-7,c,0.046000,160.64,11.668,4.90,G9 V
CoRoT-8,b,0.063000,380.00,14.800,5.10,K1 V
CoRoT-9,b,0.402100,417.89,13.690,4.30,G3 V
DMPP-1,b,0.146200,62.00,7.981,3.80,F8 V
DMPP-1,c,0.073300,62.00,7.981,3.80,F8 V
DMPP-1,d,0.042200,62.00,7.981,3.80,F8 V
DMPP-1,e,0.065100,62.00,7.981,3.80,F8 V
DMPP-2,b,0.066400,134.00,8.567,3.50,F5 V
DMPP-3 A,b,0.066200,48.90,9.066,5.00,K0 V
EPIC 211822797,b,0.131000,187.19,15.256,6.00,M0
EPIC 211945201,b,0.149300,182.69,10.154,4.00,G0
EPIC 212737443,b,0.098000,347.45,14.836,5.30,K3
EPIC 212737443,c,0.280000,347.45,14.836,5.30,K3
EPIC 220674823,b,0.013400,246.10,12.102,4.50,G5 V
EPIC 220674823,c,0.109100,246.10,12.102,4.50,G5 V
EPIC 246851721,b,0.072290,336.70,11.439,3.50,F5 V
EPIC 249893012,b,0.047000,324.22,11.428,4.80,G8 IV/V
EPIC 249893012,c,0.130000,324.22,11.428,4.80,G8 IV/V
EPIC 249893012,d,0.220000,324.22,11.428,4.80,G8 IV/V
G 9-40,b,0.038500,27.93,13.823,6.20,M2.5 V
GJ 1061,b,0.021000,3.67,13.060,6.50,M5.5 V
GJ 1061,c,0.035000,3.67,13.060,6.50,M5.5 V
GJ 1061,d,0.054000,3.67,13.060,6.50,M5.5 V
GJ 1132,b,0.015300,12.62,13.490,6.45,M4.5 V
GJ 1132,c,0.047600,12.62,13.490,6.45,M4.5 V
GJ 1148,b,0.166000,11.02,11.920,6.40,M4
GJ 1148,c,0.912000,11.02,11.920,6.40,M4
GJ 1214,b,0.014110,14.65,15.100,6.45,M4.5
GJ 1252,b,0.009160,20.38,12.193,6.30,M3
GJ 1265,b,0.026000,10.26,13.570,6.40,M4.5 V
GJ 143,b,0.191500,16.33,7.870,5.40,K4.5
GJ 15 A,b,0.072000,3.56,8.080,6.10,M1
GJ 15 A,c,5.400000,3.56,8.080,6.10,M1
GJ 160.2,b,0.053000,25.88,9.680,6.00,M0 V
GJ 163,b,0.060700,15.14,11.810,6.35,M3.5 V
GJ 163,c,0.125400,15.14,11.810,6.35,M3.5 V
GJ 163,d,1.030400,15.14,11.810,6.35,M3.5 V
GJ 179,b,2.410000,12.36,12.000,6.35,M3.5 V
GJ 180,b,0.092000,11.94,10.910,6.20,M2 V
GJ 180,c,0.129000,11.94,10.910,6.20,M2 V
GJ 180,d,0.309000,11.94,10.910,6.20,M2 V
GJ 2056,b,0.283000,28.47,10.370,6.00,M0V:
GJ 229,c,0.339000,5.76,8.140,6.10,M1/M2 V
GJ 229,b,0.898000,5.76,8.140,6.10,M1/M2 V
GJ 27.1,b,0.101000,23.62,11.420,6.00,M0.5 V
GJ 273,b,0.091101,3.80,9.872,6.35,M3.5
GJ 273,c,0.036467,3.80,9.872,6.35,M3.5
GJ 3021,b,0.490000,17.56,6.590,4.60,G6 V
GJ 3082,b,0.079000,16.63,11.077,6.00,M0.0
GJ 3138,b,0.019700,28.49,10.980,6.00,M0
GJ 3138,c,0.057000,28.49,10.980,6.00,M0
GJ 3138,d,0.698000,28.49,10.980,6.00,M0
GJ 317,b,1.151000,15.10,11.970,6.25,M2.5 V
GJ 317,c,5.230000,15.10,11.970,6.25,M2.5 V
GJ 328,b,4.500000,20.54,9.970,6.10,M1
GJ 3293,b,0.143390,20.20,11.962,6.25,M2.5
GJ 3293,c,0.361750,20.20,11.962,6.25,M2.5
GJ 3293,d,0.193940,20.20,11.962,6.25,M2.5
GJ 3293,e,0.082080,20.20,11.962,6.25,M2.5
GJ 3323,b,0.032820,5.32,12.220,6.40,M4
GJ 3323,c,0.126400,5.32,12.220,6.40,M4
GJ 3341,b,0.089000,23.16,12.080,6.25,M2.5
GJ 338 B,b,0.141000,6.33,7.700,6.00,M0.0 V
GJ 3470,b,0.035500,29.45,12.330,6.15,M1.5
GJ 3512,b,0.338000,9.49,15.050,6.50,M5.5 V
GJ 357,b,0.035000,9.44,10.920,6.20,M2.5 V
GJ 357,c,0.061000,9.44,10.920,6.20,M2.5 V
GJ 357,d,0.204000,9.44,10.920,6.20,M2.5 V
GJ 3634,b,0.028700,19.80,11.930,6.25,M2.5
GJ 3779,b,0.026000,13.75,12.960,6.40,M4.0 V
GJ 3942,b,0.060800,16.94,10.250,6.00,M0
GJ 3998,b,0.029000,18.16,10.830,6.10,M1
GJ 3998,c,0.089000,18.16,10.830,6.10,M1
GJ 411,b,0.078500,2.55,7.490,6.10,M1.9
GJ 422,b,0.111000,12.67,11.550,6.30,M3.5 V
GJ 433,b,0.062000,9.07,9.806,6.10,M1.5 V
GJ 433,c,4.819000,9.07,9.806,6.10,M1.5 V
GJ 433,d,0.178000,9.07,9.806,6.10,M1.5 V
GJ 436,b,0.029100,9.76,10.670,6.25,M2.5 V
GJ 480,b,0.068000,14.24,11.510,6.30,M3.5 Ve
GJ 504,b,43.500000,17.54,5.220,4.00,G0 V
GJ 536,b,0.066610,10.41,9.720,6.10,M1 V
GJ 581,b,0.040610,6.30,10.560,6.30,M3 V
GJ 581,c,0.072100,6.30,10.560,6.30,M3 V
GJ 581,e,0.028150,6.30,10.560,6.30,M3 V
GJ 625,b,0.078361,6.49,10.100,6.20,M2
GJ 649,b,1.135000,10.38,9.690,6.05,M0.5
GJ 667 C,b,0.050500,6.80,10.220,6.15,M1.5 V
GJ 667 C,c,0.125000,6.80,10.220,6.15,M1.5 V
GJ 667 C,e,0.213000,6.80,10.220,6.15,M1.5 V
GJ 667 C,f,0.156000,6.80,10.220,6.15,M1.5 V
GJ 667 C,g,0.549000,6.80,10.220,6.15,M1.5 V
GJ 674,b,0.039000,4.55,9.370,6.25,M2.5
GJ 676 A,b,1.820000,16.03,9.580,6.00,M0 V
GJ 676 A,c,6.600000,16.03,9.580,6.00,M0 V
GJ 682,b,0.080000,5.01,10.970,6.30,M3.5 V
GJ 682,c,0.176000,5.01,10.970,6.30,M3.5 V
GJ 685,b,0.134400,14.32,9.970,6.00,M0.5
GJ 687,b,0.163000,4.55,9.150,6.30,M3 V
GJ 687,c,1.165000,4.55,9.150,6.30,M3 V
GJ 832,b,3.560000,4.97,8.660,6.15,M1.5
GJ 832,c,0.163000,4.97,8.660,6.15,M1.5
GJ 849,b,2.350000,8.80,10.370,6.30,M3 V
GJ 86,b,0.110000,10.79,6.120,5.10,K1 V
GJ 876,b,0.208317,4.68,10.191,6.40,M4
GJ 876,c,0.129590,4.68,10.191,6.40,M4
GJ 876,d,0.020807,4.68,10.191,6.40,M4
GJ 876,e,0.334300,4.68,10.191,6.40,M4
GJ 887,b,0.068000,3.29,7.335,6.10,M1 V
GJ 887,c,0.120000,3.29,7.335,6.10,M1 V
GJ 9066,b,0.403000,4.47,12.270,6.40,M4.5 V
GJ 9066,c,0.870000,4.47,12.270,6.40,M4.5 V
GJ 96,b,0.291000,11.94,9.345,6.20,M2
GJ 9827,b,0.018800,29.69,10.250,5.50,K5 V
GJ 9827,c,0.039250,29.69,10.250,5.50,K5 V
GJ 9827,d,0.055910,29.69,10.250,5.50,K5 V
GQ Lup,b,100.000000,151.82,12.430,5.70,K7e V
GSC 06214-00210,b,320.000000,145.00,12.375,5.70,K7
GU Psc,b,2000.000000,48.00,13.550,6.30,M3
Gl 378,b,0.039435,14.96,10.190,6.10,M1
Gl 49,b,0.090500,9.86,9.560,6.10,M1.5 V
Gl 686,b,0.091000,8.16,9.577,6.10,M1
HAT-P-1,b,0.055610,159.71,10.340,4.00,G0 V
HAT-P-11,b,0.052540,37.81,9.174,5.40,K4
HAT-P-11,c,4.130000,37.81,9.174,5.40,K4
HAT-P-12,b,0.038400,142.50,12.840,5.40,K4
HAT-P-16,b,0.041300,235.00,10.812,3.80,F8
HAT-P-17,c,5.600000,92.63,10.540,5.00,K
HAT-P-18,b,0.055900,166.00,12.759,5.20,K2
HAT-P-19,b,0.046600,215.00,12.901,5.10,K1
HAT-P-2,b,0.068140,128.25,8.720,3.80,F8
HAT-P-20,b,0.036100,70.00,11.339,5.30,K3
HAT-P-25,b,0.046600,302.95,13.190,4.50,G5
HAT-P-28,b,0.043400,395.00,13.030,4.30,G3
HAT-P-36,b,0.024100,296.93,12.262,4.50,G5 V
HAT-P-38,b,0.052300,249.00,12.557,4.50,G5
HAT-P-4,b,0.044380,314.00,11.118,4.10,G1 V
HAT-P-43,b,0.044300,542.00,13.356,3.90,F9
HAT-P-50,b,0.045300,497.00,11.762,3.50,F5
HAT-P-51,b,0.050690,470.00,13.440,4.70,G7
HAT-P-52,b,0.036940,385.00,14.068,5.10,K1
HAT-P-54,b,0.041170,144.25,13.600,5.70,K7
HAT-P-65,b,0.039510,841.00,13.145,4.20,G2
HAT-P-66,b,0.043630,927.00,12.993,4.00,G0
HAT-P-68,b,0.029960,202.93,13.937,5.00,K
HAT-P-9,b,0.052870,480.00,12.297,3.70,F7
HATS-11,b,0.050700,967.34,14.018,4.00,G0
HATS-12,b,0.044100,512.41,12.756,3.00,F
HATS-15,b,0.027120,689.00,14.774,4.90,G9 V
HATS-16,b,0.037440,774.00,13.834,4.30,G3 V
HATS-17,b,0.130800,339.00,12.390,4.00,G V
HATS-18,b,0.017400,645.00,14.067,4.00,G V
HATS-2,b,0.023000,360.00,13.562,5.00,K
HATS-22,b,0.050250,207.90,13.455,5.00,K V
HATS-23,b,0.033970,747.00,13.901,4.00,G V
HATS-24,b,0.023800,510.00,12.830,3.00,F V
HATS-25,b,0.051630,466.00,13.097,4.00,G
HATS-26,b,0.047350,907.00,12.955,3.00,F
HATS-27,b,0.061100,840.00,12.766,3.00,F
HATS-28,b,0.041310,521.00,13.934,4.00,G
HATS-29,b,0.054750,351.00,12.612,4.00,G
HATS-3,b,0.048500,453.00,12.440,3.00,F
HATS-30,b,0.043540,339.00,12.192,4.00,G
HATS-36,b,0.052300,878.65,14.386,4.00,G0 V
HATS-4,b,0.036200,420.00,13.459,4.00,G
HATS-5,b,0.054200,257.00,12.630,4.00,G
HATS-6,b,0.036230,148.40,15.160,6.10,M1 V
HATS-7,b,0.040120,257.00,13.340,5.20,K2
HD 100546,b,53.000000,110.02,6.704,1.90,B9 Vne
HD 100655,b,0.680000,137.72,6.450,4.90,G9 III
HD 100777,b,1.030000,49.60,8.418,4.80,G8 V
HD 10180,c,0.064120,39.00,7.321,4.10,G1 V
HD 10180,d,0.128590,39.00,7.321,4.10,G1 V
HD 10180,e,0.269900,39.00,7.321,4.10,G1 V
HD 10180,f,0.492900,39.00,7.321,4.10,G1 V
HD 10180,g,1.427000,39.00,7.321,4.10,G1 V
HD 10180,h,3.381000,39.00,7.321,4.10,G1 V
HD 101930,b,0.300000,30.05,8.210,5.10,K1 V
HD 102117,b,0.150000,39.62,7.470,4.60,G6 V
HD 102195,b,0.050000,29.36,8.062,5.00,K0 V
HD 102272,b,0.510000,350.01,8.690,5.00,K0
HD 102329,b,1.810000,218.42,8.040,5.00,K0 III
HD 102365,b,0.460000,9.29,4.910,4.40,G3/5 V
HD 102843,b,4.074000,62.87,9.268,5.00,K0 V
HD 102956,b,0.080700,122.32,7.860,4.50,G5
HD 103197,b,0.250000,57.24,9.391,5.10,K1 V(P)
HD 103720,b,0.049800,41.60,9.490,5.30,K3 V
HD 103774,b,0.070000,56.50,7.121,3.50,F5 V
HD 103949,b,0.439000,26.52,8.690,5.30,K3 V
HD 104067,b,0.260000,20.38,7.930,5.20,K2 V
HD 10442,b,2.010000,135.89,7.840,5.00,K0 IV
HD 104985,b,0.950000,100.86,5.800,4.90,G9 III
HD 106252,b,2.610000,38.23,7.408,4.00,G0
HD 106270,b,3.340000,94.06,7.580,4.50,G5 IV
HD 106315,b,0.090700,109.00,8.951,3.50,F5 V
HD 106315,c,0.153600,109.00,8.951,3.50,F5 V
HD 10647,b,2.015000,17.34,5.520,3.90,F9 V
HD 106515 A,b,4.590000,34.12,7.972,4.50,G5
HD 106906,b,650.000000,103.33,7.797,3.50,F5 V
HD 10697,b,2.140000,33.15,6.270,4.50,G5 IV
HD 107148,b,0.269000,49.49,8.015,4.50,G5 V
HD 108147,b,0.102000,38.96,6.995,3.90,F8/G0 V
HD 108236,b,0.045270,64.60,9.238,4.30,G3 V
HD 108236,c,0.062000,64.60,9.238,4.30,G3 V
HD 108236,d,0.107400,64.60,9.238,4.30,G3 V
HD 108236,e,0.136700,64.60,9.238,4.30,G3 V
HD 108236,f,0.175800,64.60,9.238,4.30,G3 V
HD 108341,b,2.000000,49.40,9.360,5.20,K2 V
HD 108863,b,1.320000,165.52,7.710,5.00,K0
HD 108874,b,1.040000,59.62,8.738,4.50,G5
HD 108874,c,2.659000,59.62,8.738,4.50,G5
HD 109246,b,0.330000,67.97,8.770,4.00,G0 V
HD 109271,b,0.079000,55.96,8.055,4.50,G5 V
HD 109271,c,0.196000,55.96,8.055,4.50,G5 V
HD 109749,b,0.061500,63.20,8.080,4.30,G3 V
HD 110014,b,2.140000,100.98,4.660,5.20,K2 III
HD 111232,b,1.970000,28.98,7.590,4.50,G5 V
HD 111591,b,2.500000,114.54,6.427,5.00,K0 III
HD 111998,b,1.820000,33.26,6.110,3.50,F5 V
HD 113337,b,0.920000,36.22,6.008,3.60,F6 V
HD 113538,b,1.240000,15.90,9.057,5.90,K9 V
HD 113538,c,2.440000,15.90,9.057,5.90,K9 V
HD 113996,b,1.600000,116.34,4.820,5.50,K5 III
HD 114386,b,1.730000,27.95,8.730,5.30,K3 V
HD 114613,b,5.340000,20.29,4.850,4.40,G4 IV
HD 114729,b,2.067000,37.85,6.687,4.00,G0 V
HD 114762,b,0.360000,40.23,7.301,3.80,F8
HD 114783,b,1.160000,20.40,7.550,5.00,K0
HD 11506,b,2.900000,51.34,7.510,4.00,G0 V
HD 11506,c,0.774000,51.34,7.510,4.00,G0 V
HD 116029,b,1.650000,123.68,8.040,5.00,K0
HD 117207,b,3.787000,32.38,7.240,4.80,G8 IV/V
HD 11755,b,1.090000,236.64,6.870,4.50,G5
HD 117618,b,0.180000,37.82,7.169,4.20,G2 V
HD 118203,b,0.070000,92.51,8.050,5.00,K0
HD 11964,b,3.160000,33.57,6.420,4.80,G8 IV
HD 11964,c,0.229000,33.57,6.420,4.80,G8 IV
HD 11977,b,1.930000,68.05,4.690,4.80,G8 III/IV
HD 120084,b,4.300000,103.35,5.899,4.70,G7 III
HD 121504,b,0.330000,41.71,7.517,4.20,G2 V
HD 12484,b,0.297000,51.10,8.170,3.80,F8
HD 125390,b,3.160000,154.33,8.206,4.50,G5
HD 125595,b,0.080000,28.22,9.030,5.40,K4 V
HD 125612,b,1.372000,57.72,8.310,4.30,G3 V
HD 125612,c,0.052400,57.72,8.310,4.30,G3 V
HD 125612,d,4.060000,57.72,8.310,4.30,G3 V
HD 12648,b,0.540000,183.15,6.980,4.50,G5
HD 126525,b,1.837000,37.69,7.847,4.50,G5 V
HD 12661,b,0.840000,37.89,7.425,5.00,K0
HD 12661,c,2.814500,37.89,7.425,5.00,K0
HD 126614,b,2.370000,73.25,8.788,4.80,G8 IV
HD 128311,b,1.084000,16.52,7.510,5.00,K0 V
HD 128311,c,1.740000,16.52,7.510,5.00,K0 V
HD 128356,b,0.870000,26.03,8.290,5.30,K3 V
HD 129445,b,2.900000,67.57,8.800,4.60,G6 V
HD 130322,b,0.092500,31.91,8.031,5.00,K0 V
HD 131496,b,2.010000,132.34,7.800,5.00,K0
HD 131664,b,3.170000,52.89,8.128,4.30,G3 V
HD 13167,b,4.100000,149.57,8.340,4.30,G3 V
HD 13189,b,1.250000,504.71,7.556,5.20,K2
HD 132406,b,1.980000,70.93,8.467,4.00,G0
HD 132563,b,2.620000,105.47,8.928,3.80,F8
HD 133131 A,b,1.440000,47.00,8.400,4.20,G2 V
HD 133131 A,c,4.490000,47.00,8.400,4.20,G2 V
HD 133131 B,b,6.150000,47.00,8.420,4.20,G2 V
HD 134060,b,0.044400,24.20,6.290,4.30,G3 IV
HD 134060,c,2.392800,24.20,6.290,4.30,G3 IV
HD 134987,b,0.810000,26.20,6.450,4.50,G5 V
HD 134987,c,5.800000,26.20,6.450,4.50,G5 V
HD 136352,b,0.096900,14.67,5.650,4.40,G4 V
HD 136352,c,0.172900,14.67,5.650,4.40,G4 V
HD 136352,d,0.428500,14.67,5.650,4.40,G4 V
HD 136418,b,1.290000,105.49,7.879,4.50,G5
HD 13724,b,12.400000,43.52,7.890,4.30,G3/G5 V
HD 137388,b,0.890000,40.53,8.696,5.20,K2 IV
HD 13908,b,0.154000,79.73,7.508,3.80,F8 V
HD 13908,c,2.030000,79.73,7.508,3.80,F8 V
HD 13931,b,5.150000,47.46,7.597,4.00,G0
HD 139357,b,2.360000,112.45,5.964,5.00,K0
HD 1397,b,0.109700,79.75,7.781,4.50,G5 III/IV
HD 14067,b,3.400000,142.60,6.530,4.90,G9 III
HD 141399,b,0.415000,36.20,7.200,5.00,K0
HD 141399,c,0.689000,36.20,7.200,5.00,K0
HD 141399,d,2.090000,36.20,7.200,5.00,K0
HD 141399,e,5.000000,36.20,7.200,5.00,K0
HD 141937,b,1.500000,33.39,7.250,4.25,G2/3 V
HD 142,b,1.020000,26.21,5.700,4.10,G1 IV
HD 142,c,6.800000,26.21,5.700,4.10,G1 IV
HD 142022 A,b,2.930000,34.31,7.700,5.00,K0
HD 142245,b,2.780000,97.50,7.630,5.00,K0
HD 142415,b,1.060000,35.57,7.327,4.10,G1 V
HD 143105,b,0.037900,48.70,6.750,3.50,F5
HD 143361,b,1.988000,68.65,9.200,4.60,G6 V
HD 145377,b,0.450000,53.57,8.095,4.30,G3 V
HD 145457,b,0.760000,135.82,6.566,5.00,K0
HD 145934,b,4.600000,229.35,8.500,5.00,K0
HD 1461,b,0.063400,23.47,6.470,4.00,G0 V
HD 1461,c,0.111700,23.47,6.470,4.00,G0 V
HD 147018,b,0.238800,42.96,8.300,4.90,G9 V
HD 147018,c,1.922000,42.96,8.300,4.90,G9 V
HD 147379,b,0.323000,10.77,8.896,6.10,M1
HD 147513,b,1.320000,12.91,5.390,4.40,G3/5 V
HD 14787,b,1.700000,119.54,7.630,4.50,G5
HD 147873,b,0.522000,109.38,7.960,4.10,G1 V
HD 147873,c,1.360000,109.38,7.960,4.10,G1 V
HD 148156,b,2.450000,57.22,7.689,4.10,G0/2 V
HD 148164,b,0.993000,77.37,8.230,3.80,F8
HD 148164,c,6.150000,77.37,8.230,3.80,F8
HD 148284,b,0.974000,121.61,9.010,5.00,K0
HD 148427,b,1.040000,71.50,6.895,5.00,K0 III/IV
HD 149143,b,0.053000,73.43,7.890,4.00,G0
HD 1502,b,1.262000,191.96,8.360,5.00,K0
HD 150706,b,6.700000,28.29,7.020,4.00,G0 V
HD 152079,b,4.187000,88.11,9.182,4.60,G6 V
HD 152581,b,1.660000,166.54,8.380,5.00,K0
HD 15337,b,0.052200,44.87,9.088,5.10,K1 V
HD 15337,c,0.126800,44.87,9.088,5.10,K1 V
HD 153950,b,1.280000,48.52,7.390,3.80,F8 V
HD 154345,b,4.210000,18.29,6.760,4.80,G8 V
HD 154672,b,0.600000,63.16,8.210,4.30,G3 IV
HD 154857,b,1.290000,63.56,7.238,4.50,G5 V
HD 154857,c,5.360000,63.56,7.238,4.50,G5 V
HD 155233,b,2.000000,75.13,6.818,5.10,K1 III
HD 155358,b,0.630000,43.67,7.270,4.00,G0
HD 155358,c,1.020000,43.67,7.270,4.00,G0
HD 156279,b,0.490000,36.23,8.100,4.60,G6
HD 156411,b,1.880000,56.96,6.673,3.80,F8 IV/V
HD 156668,b,0.050000,24.35,8.420,5.30,K3 V
HD 156846,b,1.120000,47.80,6.506,4.10,G1 V
HD 158038,b,1.500000,95.12,7.640,5.00,K0
HD 158996,b,2.100000,285.91,5.706,5.50,K5 III
HD 159243,b,0.110000,73.46,8.646,4.00,G0 V
HD 159243,c,0.800000,73.46,8.646,4.00,G0 V
HD 159868,b,2.320000,55.94,7.240,4.50,G5 V
HD 159868,c,1.032000,55.94,7.240,4.50,G5 V
HD 1605,b,1.492000,89.03,7.520,5.10,K1 IV
HD 1605,c,3.584000,89.03,7.520,5.10,K1 IV
HD 160691,b,1.497000,15.61,5.150,4.50,G5 V
HD 160691,c,5.235000,15.61,5.150,4.50,G5 V
HD 160691,d,0.090940,15.61,5.150,4.50,G5 V
HD 160691,e,0.921000,15.61,5.150,4.50,G5 V
HD 16141,b,0.360000,37.83,6.830,4.50,G5 IV
HD 16175,b,2.120000,59.96,7.282,4.00,G0
HD 162020,b,0.080000,30.85,9.100,5.30,K3 V
HD 163607,b,0.362000,67.92,8.000,4.50,G5
HD 163607,c,2.390000,67.92,8.000,4.50,G5
HD 16417,b,0.140000,25.41,5.780,4.10,G1 V
HD 164509,b,0.870000,53.19,8.100,4.50,G5
HD 164595,b,0.230000,28.28,7.100,4.20,G2 V
HD 164604,b,1.331000,39.41,9.700,5.30,K3.5 V
HD 164922,b,2.160000,22.00,6.990,4.90,G9 V
HD 164922,c,0.341000,22.00,6.990,4.90,G9 V
HD 164922,d,0.103000,22.00,6.990,4.90,G9 V
HD 165155,b,1.130000,63.47,9.360,4.80,G8 V
HD 1666,b,0.940000,118.31,8.170,3.70,F7 V
HD 166724,b,5.420000,45.19,9.344,5.00,K0 IV-V
HD 167042,b,1.320000,49.73,5.940,5.10,K1 IV
HD 168443,b,0.293100,39.67,6.917,4.50,G5
HD 168443,c,2.837300,39.67,6.917,4.50,G5
HD 168746,b,0.070000,41.62,7.946,4.50,G5
HD 1690,b,1.360000,769.37,9.170,5.10,K1 III
HD 169830,b,0.810000,37.64,5.902,3.80,F8 V
HD 169830,c,3.600000,37.64,5.902,3.80,F8 V
HD 170469,b,2.240000,60.28,8.210,4.50,G5 IV
HD 17092,b,1.310000,229.89,7.732,5.00,K0 III
HD 171028,b,1.320000,112.01,8.310,4.00,G0
HD 171238,b,2.570000,44.87,8.610,4.80,G8 V
HD 173416,b,1.160000,132.68,6.057,4.80,G8
HD 175167,b,2.400000,71.23,8.010,4.50,G5 IV/V
HD 175541,b,0.975000,130.08,8.020,4.80,G8 IV
HD 17674,b,1.420000,44.48,7.560,4.00,G0 V
HD 176986,b,0.062960,27.81,8.420,5.20,K2.5 V
HD 176986,c,0.118780,27.81,8.420,5.20,K2.5 V
HD 177565,b,0.246000,16.93,6.160,4.80,G8 V
HD 177830,b,1.140000,62.88,7.177,5.00,K0
HD 177830,c,0.513700,62.88,7.177,5.00,K0
HD 178911 B,b,0.340000,41.02,7.792,4.50,G5
HD 179079,b,0.121400,69.85,7.950,4.50,G5 IV
HD 179949,b,0.044300,27.48,6.250,3.80,F8 V
HD 180053,b,0.843000,137.59,7.930,5.00,K0
HD 18015,b,3.870000,124.24,7.890,4.60,G6 IV
HD 180314,b,1.460000,122.79,6.608,5.00,K0
HD 180617,b,0.343000,5.91,9.120,6.20,M2.5 V
HD 180902,b,1.400000,104.89,7.780,5.00,K0 III/IV
HD 181234,b,7.520000,47.81,8.590,4.50,G5
HD 181342,b,1.592000,120.81,7.550,5.00,K0 III
HD 181433,b,0.080000,26.90,8.400,5.30,K3 IV
